Listing Id 1,Listing Id 2
IR978174,3287108
IR978174,7479660
IR978174,6175019
IR978174,4813491
3287108,4501385
3287108,7479660
3287108,9747735
3287108,4813491
4501385,5965894
4501385,6680808
4501385,3714339
4501385,7479660
4501385,2604145
4501385,9747735
4501385,4813491
5965894,6680808
5965894,3714339
5965894,2604145
5965894,9747735
5965894,4866068
4868629,1957163
4868629,4737519
4868629,6894963
4868629,9271341
6680808,4685315
6680808,2604145
6680808,4805403
6680808,9447739
6680808,9747735
1957163,1920110
1957163,4737519
1957163,6894963
1957163,3580806
IR979306,6552595
9825943,4924481
5727719,2269467
5727719,6604492
5727719,4428336
5727719,6339702
5727719,2456427
5727719,6379199
3792339,8239606
3792339,1818513
3792339,4702539
3792339,3716150
3792339,6820887
9028170,3147619
8527916,5193954
7447291,1588425
8966609,IR971782
8966609,2432296
3929459,9007173
5730705,2272846
5730705,5743027
5730705,9623639
5730705,3803356
5730705,3780610
5730705,3837465
5730705,2564246
5730705,4833621
8497234,4479980
8497234,IR957588
3714339,2604145
3714339,9747735
3714339,4866068
2269467,6604492
2269467,4428336
2269467,6339702
2269467,2456427
2269467,6379199
IR957161,5960390
IR957161,1610831
IR957161,9861262
5960390,1610831
5960390,9861262
1857476,8014499
1857476,7672518
1857476,6451879
8239606,1818513
8239606,4702539
8239606,3716150
8239606,6820887
7531066,7739537
7531066,5893753
IR956142,1514568
5450957,5743027
5450957,9623639
5450957,3803356
5450957,3780610
5450957,3837465
5450957,3210187
5450957,8665499
5450957,4833621
2272846,5743027
2272846,9623639
2272846,3803356
2272846,3780610
2272846,3837465
2272846,2564246
2272846,4833621
4478531,IR962699
1920110,2057640
1920110,9271341
6604492,4428336
6604492,6339702
6604492,2456427
6604492,6379199
2554608,2161020
6012757,5555484
6012757,3396448
7372725,4532874
5743027,9623639
5743027,3803356
5743027,3780610
5743027,3837465
5743027,2564246
5743027,3210187
5743027,8665499
5743027,4833621
4479980,IR957588
3614088,6360923
3614088,8886751
6582490,6066497
9032924,3287735
IR958476,3106109
9623639,3803356
9623639,3780610
9623639,3837465
9623639,2564246
9623639,3210187
9623639,8665499
9623639,4833621
2057640,9271341
6504391,IR967360
5477177,8796724
2903945,1588425
4737519,6894963
4737519,9271341
4428336,6339702
4428336,6379199
3803356,3780610
3803356,3837465
3803356,2564246
3803356,3210187
3803356,8665499
3803356,4833621
2077952,1818513
2077952,3716150
2077952,6820887
4685315,4805403
4685315,9447739
2620614,6736869
7327211,3399550
6135593,3716150
6339702,2456427
6339702,6379199
2941353,2480503
2480503,8577349
2480503,IR972958
2480503,5917917
7398046,IR965801
7398046,8980826
1500848,2107349
3780610,3837465
3780610,2564246
3780610,3210187
3780610,8665499
3780610,4833621
9308837,4866068
9332346,9861262
7739537,7817574
3837465,2564246
3837465,3210187
3837465,8665499
3837465,4833621
6894963,9271341
2818530,3326415
2818530,9861262
2818530,IR973724
2818530,3744427
2818530,3604680
8014499,7672518
8014499,6451879
2564246,4833621
1818513,4702539
1818513,3716150
1818513,6820887
5555484,3396448
2456427,6379199
7672518,6451879
IR959771,5862741
IR959771,IR971782
IR959771,2432296
IR959771,1654217
4702539,6820887
7479660,9747735
7479660,4813491
IR965408,2535842
3210187,8665499
3210187,4833621
IR965801,8980826
7562700,6242084
6360923,8886751
2604145,9747735
5862741,IR971782
5862741,2432296
5862741,1654217
IR967024,5258069
9747735,4813491
8665499,4833621
3326415,9861262
3326415,IR973724
3326415,3744427
3326415,3604680
9861262,IR973724
9861262,3744427
3375086,5380905
8577349,IR972958
8577349,5917917
IR971782,2432296
IR971782,1654217
2432296,1654217
5045231,6114754
3716150,6820887
9695808,6273108
9932302,1998529
IR973035,2376650
IR973724,3744427
IR972958,5917917
8796724,3604680
