Listing Id 1,Listing Id 2,Close Price 1,Close Price 2,Bathrooms Full 1,Bathrooms Full 2,Close Price Difference,Bathrooms Full Difference,Price to Value Ratio
6242331,7006663,550000.0,545000.0,2.0,3.0,5000.0,1.0,5000.0
7372725,7875085,430600.0,499900.0,2.0,0.0,69300.0,2.0,34650.0
5193954,7191062,540000.0,431780.0,2.0,0.0,108220.0,2.0,54110.0
2620614,6736869,431500.0,450000.0,1.0,2.0,18500.0,1.0,18500.0
2620614,5545387,431500.0,420000.0,1.0,2.0,11500.0,1.0,11500.0
9384816,8527059,570000.0,515000.0,2.0,3.0,55000.0,1.0,55000.0
7875085,4532874,499900.0,465000.0,0.0,2.0,34900.0,2.0,17450.0
1500848,2107349,500000.0,412000.0,2.0,1.0,88000.0,1.0,88000.0
8971440,3375086,504000.0,452000.0,3.0,2.0,52000.0,1.0,52000.0
8971440,5380905,504000.0,447500.0,3.0,2.0,56500.0,1.0,56500.0
7191062,3210187,431780.0,500000.0,0.0,2.0,68220.0,2.0,34110.0
